Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference
D;1;(Wind_Direction, N);(Crossing, True);(Traffic_Signal, False);0.004;5.880;
D;1;(Street, large_local);(Wind_Direction, Variable);(Amenity, False);0.014;5.880;
D;1;(Street, large_local);(Wind_Direction, Variable);(Traffic_Calming, False);0.014;5.880;
D;1;(Wind_Direction, NE);(Weather_Condition, Fog);(Amenity, False);0.004;5.880;
D;1;(Wind_Direction, NE);(Weather_Condition, Fog);(Railway, False);0.004;5.880;
D;1;(Wind_Direction, NE);(Weather_Condition, Fog);(Station, False);0.004;5.880;
D;1;(Wind_Direction, NE);(Weather_Condition, Fog);(Traffic_Calming, False);0.004;5.880;
D;1;(Street, Beltway);(Wind_Direction, NE);(Weather_Condition, Drizzle);0.007;5.880;
D;1;(Street, Beltway);(Wind_Direction, NE);(Weather_Condition, 'Mostly Cloudy');0.007;5.880;
D;1;(Wind_Direction, NE);(Weather_Condition, 'Mostly Cloudy');(Junction, True);0.004;5.880;
D;1;(Street, local);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.011;5.880;
D;1;(Street, Interstate);(Weather_Condition, 'Heavy Rain');(Junction, False);0.004;5.880;
D;1;(Street, large_local);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Thunderstorms);0.004;5.880;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Thunderstorms);(Amenity, False);0.004;5.880;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Thunderstorms);(Crossing, False);0.004;5.880;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Thunderstorms);(Railway, False);0.004;5.880;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Thunderstorms);(Station, False);0.004;5.880;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Thunderstorms);(Stop, False);0.004;5.880;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Thunderstorms);(Traffic_Calming, False);0.004;5.880;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, W);(Weather_Condition, 'Partly Cloudy');0.004;5.880;
D;1;(Street, large_local);(Wind_Direction, NE);(Traffic_Signal, True);0.007;5.804;
D;0;(Humidity(_%), '\'(82.5-93.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, Calm);0.021;5.773;
D;1;(Wind_Direction, Variable);(Stop, False);(Sunrise_Sunset, Day);0.065;5.762;
D;1;(Wind_Direction, Variable);(Station, False);(Sunrise_Sunset, Day);0.065;5.754;
D;1;(Wind_Direction, NE);(Crossing, False);(Traffic_Signal, True);0.022;5.754;
D;1;(Street, local);(Weather_Condition, Cloudy);(Junction, False);0.112;5.753;
D;1;(Street, large_local);(Stop, True);(Sunrise_Sunset, Day);0.004;5.729;
D;1;(Street, local);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, Variable);0.007;5.729;
D;1;(Street, Interstate);(Wind_Direction, Variable);(Weather_Condition, 'Partly Cloudy');0.004;5.729;
D;1;(Wind_Direction, N);(Weather_Condition, Rain);(Sunrise_Sunset, Day);0.004;5.729;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Crossing, False);(Station, True);0.004;5.729;
D;1;(Weather_Condition, 'Partly Cloudy');(Crossing, False);(Stop, True);0.004;5.729;
D;1;(Weather_Condition, 'Partly Cloudy');(Stop, True);(Sunrise_Sunset, Day);0.004;5.729;
D;1;(Wind_Direction, Variable);(Amenity, False);(Sunrise_Sunset, Day);0.065;5.713;
D;1;(Wind_Direction, Variable);(Railway, False);(Sunrise_Sunset, Day);0.065;5.713;
D;1;(Wind_Direction, Variable);(Traffic_Calming, False);(Sunrise_Sunset, Day);0.065;5.713;
D;1;(Street, local);(Weather_Condition, Cloudy);(Traffic_Calming, False);0.115;5.679;
D;1;(Street, local);(Weather_Condition, Cloudy);(Railway, False);0.115;5.666;
D;1;(Street, local);(Weather_Condition, Cloudy);(Station, False);0.112;5.622;
D;1;(Weather_Condition, Fog);(Junction, False);(Sunrise_Sunset, Day);0.018;5.614;
D;1;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Crossing, True);0.007;5.586;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);(Traffic_Signal, True);0.007;5.586;
D;1;(Weather_Condition, Cloudy);(Station, True);(Sunrise_Sunset, Day);0.004;5.586;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Heavy Rain');(Junction, False);0.004;5.586;
D;1;(Street, local);(Wind_Direction, SW);(Traffic_Signal, True);0.025;5.566;
D;1;(Wind_Direction, Variable);(Weather_Condition, Cloudy);(Crossing, False);0.011;5.540;
D;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, Fair);(Sunrise_Sunset, Night);0.020;5.523;
D;1;(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');(Station, False);0.007;5.517;
D;1;(Street, local);(Weather_Condition, Cloudy);(Stop, False);0.108;5.481;
D;1;(Street, local);(Visibility(mi), '\'(-inf-9.5]\'');(Crossing, True);0.018;5.476;
D;1;(Street, large_local);(Amenity, True);(Traffic_Signal, False);0.004;5.450;
D;1;(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');(Amenity, False);0.007;5.450;
D;1;(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');(Stop, False);0.007;5.450;
D;1;(Street, large_local);(Weather_Condition, Thunderstorms);(Sunrise_Sunset, Day);0.004;5.450;
D;1;(Wind_Direction, W);(Crossing, True);(Sunrise_Sunset, Night);0.004;5.450;
D;1;(Wind_Direction, NW);(Crossing, False);(Stop, True);0.007;5.450;
D;1;(Wind_Direction, N);(Junction, True);(Sunrise_Sunset, Day);0.014;5.417;
D;1;(Weather_Condition, 'Partly Cloudy');(Crossing, True);(Traffic_Signal, False);0.007;5.384;
D;1;(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');(Railway, False);0.007;5.384;
D;1;(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');(Traffic_Calming, False);0.007;5.384;
D;1;(Street, local);(Weather_Condition, Cloudy);(Amenity, False);0.108;5.371;
D;1;(Wind_Direction, N);(Crossing, False);(Traffic_Signal, True);0.011;5.363;
D;1;(Weather_Condition, Thunder);(Junction, False);(Sunrise_Sunset, Day);0.004;5.320;
D;1;(Station, True);(Traffic_Signal, False);(Sunrise_Sunset, Night);0.004;5.320;
D;1;(Street, Beltway);(Wind_Direction, NW);(Weather_Condition, Drizzle);0.004;5.320;
D;1;(Weather_Condition, Fog);(Amenity, False);(Sunrise_Sunset, Day);0.018;5.320;
D;1;(Weather_Condition, Fog);(Station, False);(Sunrise_Sunset, Day);0.018;5.320;
D;1;(Weather_Condition, Fog);(Stop, False);(Sunrise_Sunset, Day);0.018;5.295;
D;1;(Wind_Direction, Variable);(Weather_Condition, Fair);(Traffic_Signal, False);0.018;5.295;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Junction, False);0.029;5.273;
D;0;(Street, Highway);(Humidity(_%), '\'(82.5-93.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');0.019;5.263;
D;1;(Wind_Direction, N);(Station, False);(Traffic_Signal, True);0.014;5.257;
D;1;(Street, large_local);(Crossing, True);(Station, False);0.058;5.250;
D;1;(Wind_Direction, NE);(Junction, True);(Sunrise_Sunset, Night);0.011;5.237;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Stop, False);0.032;5.210;
D;1;(Street, large_local);(Amenity, True);(Crossing, True);0.004;5.196;
D;1;(Street, Beltway);(Wind_Direction, E);(Junction, True);0.004;5.196;
D;1;(Street, local);(Wind_Direction, Variable);(Crossing, False);0.014;5.196;
D;1;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SW);(Weather_Condition, Fair);0.011;5.196;
D;1;(Street, Beltway);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Partly Cloudy');0.004;5.196;
D;1;(Wind_Direction, NW);(Stop, True);(Traffic_Signal, False);0.007;5.196;
D;1;(Wind_Direction, unknown);(Junction, False);(Sunrise_Sunset, Day);0.004;5.196;
D;1;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Heavy Rain');(Stop, False);0.004;5.196;
D;1;(Weather_Condition, 'Partly Cloudy');(Amenity, False);(Station, True);0.004;5.196;
D;1;(Weather_Condition, 'Partly Cloudy');(Amenity, False);(Stop, True);0.004;5.196;
D;1;(Weather_Condition, Fog);(Railway, False);(Sunrise_Sunset, Day);0.018;5.196;
D;1;(Weather_Condition, Fog);(Traffic_Calming, False);(Sunrise_Sunset, Day);0.018;5.196;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Amenity, False);0.032;5.156;
D;1;(Street, Beltway);(Wind_Direction, NE);(Junction, True);0.011;5.156;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Railway, False);0.032;5.143;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Station, False);0.032;5.143;
D;1;(Wind_Direction, N);(Crossing, True);(Traffic_Calming, False);0.007;5.137;
D;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Traffic_Calming, False);0.032;5.130;
D;1;(Weather_Condition, Thunder);(Junction, False);(Traffic_Signal, False);0.004;5.078;
D;1;(Wind_Direction, N);(Weather_Condition, Rain);(Junction, False);0.004;5.078;
D;1;(Weather_Condition, 'Partly Cloudy');(Railway, False);(Station, True);0.004;5.078;
D;1;(Weather_Condition, 'Partly Cloudy');(Station, True);(Traffic_Calming, False);0.004;5.078;
D;1;(Weather_Condition, 'Partly Cloudy');(Railway, False);(Stop, True);0.004;5.078;
D;1;(Wind_Direction, NE);(Weather_Condition, Cloudy);(Station, False);0.058;5.064;
D;1;(Wind_Direction, NE);(Weather_Condition, Cloudy);(Stop, False);0.058;5.057;
D;1;(Wind_Direction, S);(Weather_Condition, 'Partly Cloudy');(Junction, False);0.018;5.055;
D;1;(Street, local);(Weather_Condition, Cloudy);(Crossing, False);0.086;5.049;
D;1;(Wind_Direction, N);(Traffic_Calming, False);(Traffic_Signal, True);0.014;5.049;
D;1;(Wind_Direction, Variable);(Station, False);(Stop, False);0.068;5.042;
D;1;(Wind_Direction, S);(Weather_Condition, 'Partly Cloudy');(Amenity, False);0.022;5.040;
D;1;(Street, large_local);(Crossing, True);(Traffic_Calming, False);0.058;5.028;
D;1;(Weather_Condition, Fair);(Station, True);(Sunrise_Sunset, Day);0.007;5.021;
D;1;(Street, Interstate);(Wind_Direction, NE);(Junction, True);0.007;5.021;
D;1;(Wind_Direction, Variable);(Station, False);(Traffic_Calming, False);0.068;5.018;
D;1;(Wind_Direction, Variable);(Stop, False);(Traffic_Calming, False);0.068;5.018;
D;1;(Wind_Direction, NE);(Weather_Condition, Cloudy);(Traffic_Calming, False);0.058;5.014;
D;1;(Wind_Direction, NE);(Amenity, False);(Traffic_Signal, True);0.025;5.013;
D;1;(Wind_Direction, Variable);(Railway, False);(Stop, False);0.068;5.012;
D;1;(Street, local);(Humidity(_%), '\'(93.5-inf)\'');(Traffic_Signal, False);0.086;5.012;
D;1;(Wind_Direction, NE);(Weather_Condition, Cloudy);(Crossing, False);0.054;5.010;
D;1;(Wind_Direction, NE);(Weather_Condition, Cloudy);(Railway, False);0.058;5.007;
D;1;(Wind_Direction, Variable);(Amenity, False);(Station, False);0.068;5.006;
D;1;(Wind_Direction, Variable);(Amenity, False);(Stop, False);0.068;5.006;
D;1;(Weather_Condition, Fair);(Crossing, False);(Stop, True);0.011;5.002;
D;1;(Wind_Direction, S);(Weather_Condition, 'Partly Cloudy');(Traffic_Calming, False);0.022;5.002;
D;1;(Wind_Direction, Variable);(Railway, False);(Station, False);0.068;5.000;
